host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
155,1000_to_1099,1049.5,10,10,1,1,0.18896800000000002,0.18896800000000002,0.198362,0.44631600000000005,0.2651366666666667,0.2651366666666667,0.18896800000000002,0.18896800000000002,0.198362,0.44631600000000005,0.2651366666666667,0.2651366666666667,1,0
156,1000_to_1099,1049.5,10,10,1,1,0.4144901,0.4144901,0.622771,0.8821490000000001,0.5342188666666667,0.5342188666666667,0.4144901,0.4144901,0.622771,0.8821490000000001,0.5342188666666667,0.5342188666666667,1,0
160,1000_to_1099,1049.5,10,10,1,1,4.3023913,4.3023913,3.416716,9.729143,7.058120733333333,7.058120733333333,4.3023913,4.3023913,3.416716,9.729143,7.058120733333333,7.058120733333333,1,0
168,1000_to_1099,1049.5,10,10,1,1,0.0958451,0.0958451,0.08103,0.15617300000000003,0.08665917777777779,0.08665917777777779,0.0958451,0.0958451,0.08103,0.15617300000000003,0.08665917777777779,0.08665917777777779,1,0
186,1000_to_1099,1049.5,10,10,1,1,3.0854942000000003,3.0854942000000003,2.767799,6.560992,5.379596755555555,5.379596755555555,3.0854942000000003,3.0854942000000003,2.767799,6.560992,5.379596755555555,5.379596755555555,1,0
187,1000_to_1099,1049.5,10,10,1,3,0.1248799,0.1248799,0.135825,0.33891200000000005,0.2144343777777778,0.2144343777777778,0.1248799,0.1248799,0.135825,0.33891200000000005,0.2144343777777778,0.2144343777777778,1,0
194,1000_to_1099,1049.5,10,10,1,6,0.5620272,0.5620272,0.722869,1.464258,0.8781324,0.8781324,0.5620272,0.5620272,0.722869,1.464258,0.8781324,0.8781324,1,0
206,1000_to_1099,1049.5,10,10,1,1,1.5797994000000002,1.5797994000000002,1.4254630000000001,3.14945,1.9118489333333333,1.9118489333333333,1.5797994000000002,1.5797994000000002,1.4254630000000001,3.14945,1.9118489333333333,1.9118489333333333,1,0
22,1000_to_1099,1049.5,10,10,1,1,0.6565205,0.6565205,0.528783,1.395227,0.9141567333333334,0.9141567333333334,0.6565205,0.6565205,0.528783,1.395227,0.9141567333333334,0.9141567333333334,1,0
241,1000_to_1099,1049.5,10,10,1,7,2.0413460999999997,2.0413460999999997,1.802172,4.450115,3.405195311111111,3.405195311111111,2.0413460999999997,2.0413460999999997,1.802172,4.450115,3.405195311111111,3.405195311111111,1,0
252,1000_to_1099,1049.5,10,10,1,1,2.9167838999999995,2.9167838999999995,2.06549,6.592074,4.681018688888889,4.681018688888889,2.9167838999999995,2.9167838999999995,2.06549,6.592074,4.681018688888889,4.681018688888889,1,0
305,1000_to_1099,1049.5,10,10,1,1,0.6600193999999999,0.6600193999999999,0.556305,1.4760360000000001,0.8456652,0.8456652,0.6600193999999999,0.6600193999999999,0.556305,1.4760360000000001,0.8456652,0.8456652,1,0
321,1000_to_1099,1049.5,10,10,1,8,1.7180831,1.7180831,1.440264,3.6380019999999997,2.7562261555555554,2.7562261555555554,1.7180831,1.7180831,1.440264,3.6380019999999997,2.7562261555555554,2.7562261555555554,1,0
329,1000_to_1099,1049.5,10,10,1,5,0.25488370000000005,0.25488370000000005,0.34370999999999996,0.497357,0.3124274444444444,0.3124274444444444,0.25488370000000005,0.25488370000000005,0.34370999999999996,0.497357,0.3124274444444444,0.3124274444444444,1,0
