host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
101,1000_to_1099,1049.5,20,20,1,9,4.8160753,4.8160753,3.323573,11.134164,7.389705221052632,7.389705221052632,4.8160753,4.8160753,3.323573,11.134164,7.389705221052632,7.389705221052632,1,0
110,1000_to_1099,1049.5,20,20,1,2,2.11477775,2.11477775,2.5272430000000004,5.012199,2.7596377,2.7596377,2.11477775,2.11477775,2.5272430000000004,5.012199,2.7596377,2.7596377,1,0
126,1000_to_1099,1049.5,20,20,1,1,0.12140365000000002,0.12140365000000002,0.089171,0.298989,0.1782144052631579,0.1782144052631579,0.12140365000000002,0.12140365000000002,0.089171,0.298989,0.1782144052631579,0.1782144052631579,1,0
162,1000_to_1099,1049.5,20,20,1,1,0.1791396,0.1791396,0.19956200000000002,0.334656,0.11627676842105263,0.11627676842105263,0.1791396,0.1791396,0.19956200000000002,0.334656,0.11627676842105263,0.11627676842105263,1,0
18,1000_to_1099,1049.5,20,20,1,1,0.290105,0.290105,0.47491099999999997,0.629872,0.3087628736842105,0.3087628736842105,0.290105,0.290105,0.47491099999999997,0.629872,0.3087628736842105,0.3087628736842105,1,0
202,1000_to_1099,1049.5,20,20,1,1,0.18659765,0.18659765,0.202449,0.340886,0.2009796789473684,0.2009796789473684,0.18659765,0.18659765,0.202449,0.340886,0.2009796789473684,0.2009796789473684,1,0
229,1000_to_1099,1049.5,20,20,1,5,0.3412531500000001,0.3412531500000001,0.387612,0.757947,0.4527641210526316,0.4527641210526316,0.3412531500000001,0.3412531500000001,0.387612,0.757947,0.4527641210526316,0.4527641210526316,1,0
271,1000_to_1099,1049.5,20,20,1,3,1.7947556000000002,1.7947556000000002,1.3586690000000001,4.1148489999999995,2.7811729368421054,2.7811729368421054,1.7947556000000002,1.7947556000000002,1.3586690000000001,4.1148489999999995,2.7811729368421054,2.7811729368421054,1,0
315,1000_to_1099,1049.5,20,20,1,2,2.41014495,2.41014495,3.5431730000000003,5.606731000000001,2.503173847368421,2.503173847368421,2.41014495,2.41014495,3.5431730000000003,5.606731000000001,2.503173847368421,2.503173847368421,1,0
323,1000_to_1099,1049.5,20,20,1,1,0.08564575,0.08564575,0.112066,0.198069,0.10934907894736842,0.10934907894736842,0.08564575,0.08564575,0.112066,0.198069,0.10934907894736842,0.10934907894736842,1,0
331,1000_to_1099,1049.5,20,20,1,6,5.928709650000001,5.928709650000001,3.942038,13.691871,10.13733077368421,10.13733077368421,5.928709650000001,5.928709650000001,3.942038,13.691871,10.13733077368421,10.13733077368421,1,0
344,1000_to_1099,1049.5,20,20,1,1,0.29662590000000005,0.29662590000000005,0.27644,0.6867639999999999,0.33621071578947365,0.33621071578947365,0.29662590000000005,0.29662590000000005,0.27644,0.6867639999999999,0.33621071578947365,0.33621071578947365,1,0
378,1000_to_1099,1049.5,20,20,1,1,0.22773629999999997,0.22773629999999997,0.304118,0.5582309999999999,0.3244697789473684,0.3244697789473684,0.22773629999999997,0.22773629999999997,0.304118,0.5582309999999999,0.3244697789473684,0.3244697789473684,1,0
