host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
103,1000_to_1099,1049.5,20,20,1,4,12.745710249999998,12.745710249999998,7.431326,24.644036,17.883247015789472,17.883247015789472,12.745710249999998,12.745710249999998,7.431326,24.644036,17.883247015789472,17.883247015789472,1,0
106,1000_to_1099,1049.5,20,20,1,1,0.18825764999999997,0.18825764999999997,0.10762,0.25450799999999996,0.12278502631578947,0.12278502631578947,0.18825764999999997,0.18825764999999997,0.10762,0.25450799999999996,0.12278502631578947,0.12278502631578947,1,0
13,1000_to_1099,1049.5,20,20,1,1,0.06039825,0.06039825,0.055344000000000004,0.145374,0.07466374210526316,0.07466374210526316,0.06039825,0.06039825,0.055344000000000004,0.145374,0.07466374210526316,0.07466374210526316,1,0
230,1000_to_1099,1049.5,20,20,1,1,4.6019601,4.6019601,2.897434,10.340922,6.341088442105264,6.341088442105264,4.6019601,4.6019601,2.897434,10.340922,6.341088442105264,6.341088442105264,1,0
288,1000_to_1099,1049.5,20,20,2,4,5.2653013,3.419806058823529,4.452112,11.195748,6.826621252631579,5.598654573529412,5.2653013,3.419806058823529,4.452112,11.195748,6.826621252631579,5.598654573529412,0.85,0.15
34,1000_to_1099,1049.5,20,20,1,4,6.401667549999999,6.401667549999999,6.874498,13.784189000000001,9.475700921052631,9.475700921052631,6.401667549999999,6.401667549999999,6.874498,13.784189000000001,9.475700921052631,9.475700921052631,1,0
345,1000_to_1099,1049.5,20,20,1,2,1.9023795,1.9023795,1.391293,4.085426,2.686005968421053,2.686005968421053,1.9023795,1.9023795,1.391293,4.085426,2.686005968421053,2.686005968421053,1,0
395,1000_to_1099,1049.5,20,20,1,1,1.81725175,1.81725175,1.356818,4.13416,2.560471615789474,2.560471615789474,1.81725175,1.81725175,1.356818,4.13416,2.560471615789474,2.560471615789474,1,0
5,1000_to_1099,1049.5,20,20,1,1,0.81791375,0.81791375,0.927082,1.7686270000000002,1.0735672894736843,1.0735672894736843,0.81791375,0.81791375,0.927082,1.7686270000000002,1.0735672894736843,1.0735672894736843,1,0
544,1000_to_1099,1049.5,20,20,1,1,4.68780475,4.68780475,4.276695,10.974686,6.149145710526316,6.149145710526316,4.68780475,4.68780475,4.276695,10.974686,6.149145710526316,6.149145710526316,1,0
557,1000_to_1099,1049.5,20,20,1,1,9.670717200000002,9.670717200000002,7.527497,20.857180999999997,16.40642247368421,16.40642247368421,9.670717200000002,9.670717200000002,7.527497,20.857180999999997,16.40642247368421,16.40642247368421,1,0
