host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
160,1000_to_1099,1049.5,10,10,1,1,0.25936839999999994,0.25936839999999994,0.191692,0.574697,0.3976156,0.3976156,0.25936839999999994,0.25936839999999994,0.191692,0.574697,0.3976156,0.3976156,1,0
270,1000_to_1099,1049.5,10,10,1,1,1.2068265,1.2068265,1.12085,2.528918,1.9940900222222222,1.9940900222222222,1.2068265,1.2068265,1.12085,2.528918,1.9940900222222222,1.9940900222222222,1,0
31,1000_to_1099,1049.5,10,10,2,4,5.6268891000000005,5.291011142857143,5.066045,13.073053,9.38863308888889,7.900960380952381,5.6268891000000005,5.291011142857143,5.066045,13.073053,9.38863308888889,7.900960380952381,0.7,0.3
322,1000_to_1099,1049.5,10,10,1,1,0.7287042,0.7287042,0.786008,1.542937,0.9805467555555556,0.9805467555555556,0.7287042,0.7287042,0.786008,1.542937,0.9805467555555556,0.9805467555555556,1,0
423,1000_to_1099,1049.5,10,10,1,1,0.7225562,0.7225562,0.651945,1.3941670000000002,0.967072311111111,0.967072311111111,0.7225562,0.7225562,0.651945,1.3941670000000002,0.967072311111111,0.967072311111111,1,0
437,1000_to_1099,1049.5,10,10,1,1,0.2779717,0.2779717,0.408022,0.6638600000000001,0.35367784444444444,0.35367784444444444,0.2779717,0.2779717,0.408022,0.6638600000000001,0.35367784444444444,0.35367784444444444,1,0
610,1000_to_1099,1049.5,10,10,1,4,3.4910748,3.4910748,2.551504,7.571943999999999,5.785916933333334,5.785916933333334,3.4910748,3.4910748,2.551504,7.571943999999999,5.785916933333334,5.785916933333334,1,0
64,1000_to_1099,1049.5,10,10,1,1,1.3971024,1.3971024,1.775754,2.984556,1.9059187555555555,1.9059187555555555,1.3971024,1.3971024,1.775754,2.984556,1.9059187555555555,1.9059187555555555,1,0
695,1000_to_1099,1049.5,10,10,1,1,1.0391648,1.0391648,0.996007,2.024751,1.4733924,1.4733924,1.0391648,1.0391648,0.996007,2.024751,1.4733924,1.4733924,1,0
772,1000_to_1099,1049.5,10,10,1,2,2.4411973000000002,2.4411973000000002,1.76233,5.5580560000000006,4.094130955555555,4.094130955555555,2.4411973000000002,2.4411973000000002,1.76233,5.5580560000000006,4.094130955555555,4.094130955555555,1,0
160,1100_to_1199,1149.5,10,10,1,1,0.28050269999999994,0.28050269999999994,0.173804,0.611931,0.44828615555555557,0.44828615555555557,0.28050269999999994,0.28050269999999994,0.173804,0.611931,0.44828615555555557,0.44828615555555557,1,0
270,1100_to_1199,1149.5,10,10,1,1,1.6615663999999999,1.6615663999999999,1.420948,3.6310490000000004,2.736104266666667,2.736104266666667,1.6615663999999999,1.6615663999999999,1.420948,3.6310490000000004,2.736104266666667,2.736104266666667,1,0
31,1100_to_1199,1149.5,10,10,2,4,7.3838014,6.562366142857143,5.777009,17.138269,12.468188355555556,10.106780380952381,7.3838014,6.562366142857143,5.777009,17.138269,12.468188355555556,10.106780380952381,0.7,0.3
322,1100_to_1199,1149.5,10,10,1,1,0.8279814999999999,0.8279814999999999,0.8420380000000001,1.664734,1.0933934444444444,1.0933934444444444,0.8279814999999999,0.8279814999999999,0.8420380000000001,1.664734,1.0933934444444444,1.0933934444444444,1,0
423,1100_to_1199,1149.5,10,10,1,1,1.0087507,1.0087507,1.269069,2.1723689999999998,1.208188511111111,1.208188511111111,1.0087507,1.0087507,1.269069,2.1723689999999998,1.208188511111111,1.208188511111111,1,0
437,1100_to_1199,1149.5,10,10,1,1,0.3357879,0.3357879,0.38594,0.615309,0.32047286666666663,0.32047286666666663,0.3357879,0.3357879,0.38594,0.615309,0.32047286666666663,0.32047286666666663,1,0
610,1100_to_1199,1149.5,10,10,1,2,4.0767237000000005,4.0767237000000005,3.277335,9.882995000000001,7.360851133333333,7.360851133333333,4.0767237000000005,4.0767237000000005,3.277335,9.882995000000001,7.360851133333333,7.360851133333333,1,0
64,1100_to_1199,1149.5,10,10,1,1,1.4664093999999999,1.4664093999999999,1.805117,3.1906420000000004,2.059467288888889,2.059467288888889,1.4664093999999999,1.4664093999999999,1.805117,3.1906420000000004,2.059467288888889,2.059467288888889,1,0
